model,SmolVLA (Action Expert),SmolVLA (Full Trained),SmolVLA + Ours
libero object task 0,72,70,70
libero object task 1,72,55,45
libero object task 2,72,95,95
libero object task 3,72,50,75
libero object task 4,72,55,90
libero object task 5,72,50,50
libero object task 6,72,80,85
libero object task 7,72,55,80
libero object task 8,72,95,95
libero object task 9,72,75,70
average,72,68,75.5
